id,species,eccentricity,aspect ratio,apratio,solidity,convexity,elongation,isoperimetric,perim,area
1,Acer_Opalus,0.552025588387,0.833827170201,71.4328604772,0.8952901565,0.70039365397,0.166172829799,0.502978220652,1724.36825481,99753.2478628
2,Pterocarya_Stenoptera,0.955122282461,0.296211791708,38.9196910004,0.991185816502,0.811556892251,0.703788208292,0.400906853659,1219.38340671,36772.295706
3,Quercus_Hartwissiana,0.794832377063,0.606829047073,56.1882212079,0.942706598692,0.808018512855,0.393170952927,0.462664665031,1370.37835607,56495.3835491
5,Tilia_Tomentosa,0.29807966112,0.954540997352,84.6549125644,0.96317786581,0.721388270916,0.0454590026476,0.464084937395,1872.41702804,111209.027079
6,Quercus_Variabilis,0.920749996868,0.390153102342,46.5118070398,0.991596238504,0.822062827083,0.609846897658,0.470621461978,1217.18239658,44660.8553138
8,Magnolia_Salicifolia,0.835870913721,0.548926056583,59.8686085951,0.994682370053,0.926583985807,0.451073943417,0.682296620483,1155.9519492,60418.345902
10,Quercus_Canariensis,0.927764882015,0.373165276652,42.6075626998,0.97040867361,0.806801494959,0.626834723348,0.42700661139,1232.12857271,40631.3772746
11,Quercus_Rubra,0.567538279581,0.823347011418,32.9910009812,0.684461583369,0.456500127396,0.176652988582,0.133098782005,2589.10036095,49048.0972746
14,Quercus_Brantii,0.924862324864,0.380302090511,44.5401381615,0.980720959435,0.748701250795,0.619697909489,0.435476439874,1241.04026096,42450.8490393
15,Salix_Fragilis,0.977967014064,0.208759477394,23.5891613671,0.983222763509,0.844783015607,0.791240522606,0.282951752429,1101.60166078,18870.6721765
17,Zelkova_Serrata,0.874532195595,0.48496746166,52.1298239595,0.985595234127,0.749307835297,0.51503253834,0.395435951628,1379.14076602,48511.4651177
18,Betula_Austrosinensis,0.830147214123,0.557544260919,62.9381089745,0.99378063009,0.676471338626,0.442455739081,0.399506418545,1567.85858681,65433.1827648
20,Quercus_Pontica,0.889004775391,0.457897924576,51.0246726983,0.982294842844,0.767663313982,0.542102075424,0.405303477406,1377.2067832,50015.8678628
21,Quercus_Afares,0.856595310222,0.515988831764,53.4612645151,0.964431574587,0.700284708899,0.484011168236,0.392777919876,1414.6382407,50949.4337452
22,Quercus_Coccifera,0.832940593317,0.553362420124,56.1999254651,0.989695627713,0.787179188671,0.446637579876,0.550919950372,1193.39350798,51912.9619805
25,Fagus_Sylvatica,0.771232307909,0.636553789744,66.1735541012,0.993343575889,0.897639764689,0.363446210256,0.661731589629,1231.50829839,67452.3270785
26,Phildelphus,0.876900302717,0.480672299071,51.7153881349,0.989024890038,0.900290276692,0.519327700929,0.565136339428,1163.42503727,49968.9117844
27,Acer_Palmatum,0.455257265605,0.890359939639,28.7930992556,0.611214186544,0.453397393321,0.109640060361,0.085425642056,3001.33290037,39772.8200197
29,Quercus_Pubescens,0.818770322734,0.574121205505,42.4156374055,0.832615233672,0.570638317183,0.425878794495,0.22074884964,1935.26269911,49530.9004118
30,Populus_Adenopoda,0.725127437644,0.68861469573,61.6061448855,0.990765538825,0.764709081658,0.31138530427,0.581032032663,1259.70930852,60994.3772746
31,Quercus_Trojana,0.863674886046,0.504049294429,54.2875699611,0.991061191946,0.792151414924,0.495950705571,0.502514966423,1271.60880345,52830.3835491
32,Quercus_Variabilis,0.936586270332,0.35043709596,42.8954243949,0.991481008015,0.853247974894,0.64956290404,0.465312827224,1165.30014559,39745.4023726
34,Alnus_Sieboldiana,0.849145194675,0.528159481938,54.2780843645,0.994336498187,0.679080903628,0.471840518062,0.324160091081,1590.74588844,53021.8992354
35,Quercus_Ilex,0.890053062991,0.45585693486,50.0044254266,0.993248794608,0.901878164792,0.54414306514,0.582929830924,1098.02806765,45387.0435491
37,Arundinaria_Simonii,0.995915453439,0.0902906949853,10.7072237668,0.971611931882,0.911496151479,0.909709305015,0.180289979413,1019.78838555,8128.69100008
38,Acer_Platanoids,0.743222185696,0.669044679142,51.4976534414,0.838429927641,0.627140762944,0.330955320858,0.253134716915,1988.8779228,63367.6619805
40,Quercus_Phillyraeoides,0.896241987396,0.443565440526,53.027719265,0.993898369598,0.82823329246,0.556434559474,0.513109976758,1236.78037633,51636.3270785
42,Cornus_Chinensis,0.849623393196,0.527389883989,56.8307013413,0.993461334777,0.915275069986,0.472610116011,0.643321619683,1144.23622045,55076.9494314
